Cell Reference,nCube ID,nCube Name,N of Variables,Variable 1,Cat 1 Seq,Category 1,Variable 2,Cat 2 Seq,Category 2,Variable 3,Cat 3 Seq,Category 3, Variable 4,Cat 4 Seq,Category 4
OCC_RAW1841:female/o20/2921,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2921,Spoon-maker,,,
OCC_RAW1841:female/o20/2923,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2923,Spring (Door) maker,,,
OCC_RAW1841:female/o20/2924,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2924,Spring (Secret) maker,,,
OCC_RAW1841:female/o20/2925,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2925,Spring-maker,,,
OCC_RAW1841:female/o20/2927,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2927,Spur-maker,,,
OCC_RAW1841:female/o20/2934,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2934,Stamp-maker,,,
OCC_RAW1841:female/o20/2938,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2938,Starch-manufacture,,,
OCC_RAW1841:female/o20/2939,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2939,Stationer,,,
OCC_RAW1841:female/o20/294,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,294,Botanist,,,
OCC_RAW1841:female/o20/2940,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2940,Stationer, Law,,,
OCC_RAW1841:female/o20/2942,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2942,Stay and Corset-maker,,,
OCC_RAW1841:female/o20/2948,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2948,Steel Merchant,,,
OCC_RAW1841:female/o20/2959,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2959,Steel-worker,,,
OCC_RAW1841:female/o20/2960,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2960,Steelyard-maker,,,
OCC_RAW1841:female/o20/2961,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2961,Stenciller,,,
OCC_RAW1841:female/o20/2962,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2962,Stereotype-founder,,,
OCC_RAW1841:female/o20/2964,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2964,Stevedore,,,
OCC_RAW1841:female/o20/2966,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2966,Steward (branch not specified),,,
OCC_RAW1841:female/o20/2969,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2969,Steward and Stewardess (Ship),,,
OCC_RAW1841:female/o20/297,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,297,Bottle-dealer and Merchant,,,
OCC_RAW1841:female/o20/2975,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2975,Stirrup-maker,,,
OCC_RAW1841:female/o20/2977,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2977,Stock (Men's) maker,,,
OCC_RAW1841:female/o20/2989,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2989,Stock-maker,,,
OCC_RAW1841:female/o20/2990,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2990,Stone Agent,,,
OCC_RAW1841:female/o20/2991,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2991,Stone merchant and Dealer,,,
OCC_RAW1841:female/o20/2998,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,2998,Store-keeper,,,
OCC_RAW1841:female/o20/3005,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3005,Straw Bonnet and Hat-maker,,,
OCC_RAW1841:female/o20/3012,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3012,Straw-plait Manufacture (all branches),,,
OCC_RAW1841:female/o20/3013,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3013,Straw-plait-dealer, Factor, and Merchant,,,
OCC_RAW1841:female/o20/3019,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3019,Strop-maker,,,
OCC_RAW1841:female/o20/302,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,302,Bow-string-maker,,,
OCC_RAW1841:female/o20/3023,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3023,Stuff Manufacture (all branches),,,
OCC_RAW1841:female/o20/3031,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3031,Sugar-baker, Boiler, and Refiner,,,
OCC_RAW1841:female/o20/3042,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3042,Surgeon, Apothecary, and Medical Student,,,
OCC_RAW1841:female/o20/3043,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3043,Surgical Insturment-maker,,,
OCC_RAW1841:female/o20/3045,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3045,Surveyor (all branches),,,
OCC_RAW1841:female/o20/305,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,305,Brace and Belt-maker,,,
OCC_RAW1841:female/o20/3056,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3056,Swivel-maker,,,
OCC_RAW1841:female/o20/3057,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3057,Sword Cutler and Maker,,,
OCC_RAW1841:female/o20/3062,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3062,Tacksman (particular occupation not specified),,,
OCC_RAW1841:female/o20/3066,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3066,Tag-maker and Dealer,,,
OCC_RAW1841:female/o20/3068,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3068,Tailor and Breeches-maker,,,
OCC_RAW1841:female/o20/3069,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3069,Tallow and Wax Chandler,,,
OCC_RAW1841:female/o20/3076,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3076,Tank-maker,,,
OCC_RAW1841:female/o20/3077,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3077,Tanner,,,
OCC_RAW1841:female/o20/3080,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3080,Tape-manufacture (all branches),,,
OCC_RAW1841:female/o20/3085,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3085,Tar and Rosin maker,,,
OCC_RAW1841:female/o20/309,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,309,Braid-maker,,,
OCC_RAW1841:female/o20/3093,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3093,Tartan-manufacture (all branches),,,
OCC_RAW1841:female/o20/3096,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3096,Tassel-maker,,,
OCC_RAW1841:female/o20/3099,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3099,Tavern Beer-shop-keeper,,,
OCC_RAW1841:female/o20/3100,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3100,Tavern Hotel and Inn-keeper,,,
OCC_RAW1841:female/o20/3102,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3102,Tavern Publican and Victualler,,,
OCC_RAW1841:female/o20/3105,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3105,Tavern Spirit-merchant,,,
OCC_RAW1841:female/o20/3123,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3123,Tea and Coffee Pot-maker,,,
OCC_RAW1841:female/o20/3126,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3126,Tea-broker and Merchant,,,
OCC_RAW1841:female/o20/3178,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3178,Teacher or Professor, Belles Lettres,,,
OCC_RAW1841:female/o20/3179,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3179,Teacher or Professor, Dancing and Gymnastics,,,
OCC_RAW1841:female/o20/318,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,318,Brass-founder and Moulder,,,
OCC_RAW1841:female/o20/3180,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3180,Teacher or Professor, Languages,,,
OCC_RAW1841:female/o20/3181,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3181,Teacher or Professor, Mathematics,,,
OCC_RAW1841:female/o20/3182,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3182,Teacher or Professor, Miscellaneous,,,
OCC_RAW1841:female/o20/3183,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3183,Teacher or Professor, Music and Singing,,,
OCC_RAW1841:female/o20/3184,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3184,Teacher or Professor, Riding,,,
OCC_RAW1841:female/o20/3199,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3199,Teazle Grower and Merchant,,,
OCC_RAW1841:female/o20/3203,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3203,Tennis Court Keeper,,,
OCC_RAW1841:female/o20/3207,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3207,Thatcher,,,
OCC_RAW1841:female/o20/3208,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3208,Theatrical Property-maker,,,
OCC_RAW1841:female/o20/3211,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3211,Thimble-maker,,,
OCC_RAW1841:female/o20/3213,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3213,Thread (Shoe) Maker and Winder,,,
OCC_RAW1841:female/o20/3221,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3221,Thread-manufacture (all branches),,,
OCC_RAW1841:female/o20/3227,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3227,Tiler,,,
OCC_RAW1841:female/o20/3228,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3228,Tilt-maker,,,
OCC_RAW1841:female/o20/3230,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3230,Timber Agent and Broker,,,
OCC_RAW1841:female/o20/3232,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3232,Timber Bender,,,
OCC_RAW1841:female/o20/3241,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3241,Timber-merchant and Dealer,,,
OCC_RAW1841:female/o20/3245,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3245,Tin Foil-maker,,,
OCC_RAW1841:female/o20/3247,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3247,Tin Manufacture (all branches),,,
OCC_RAW1841:female/o20/3254,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3254,Tin-dealer and Agent,,,
OCC_RAW1841:female/o20/3261,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3261,Tin-plate-worker and Tinman,,,
OCC_RAW1841:female/o20/3269,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3269,Tip-maker,,,
OCC_RAW1841:female/o20/3278,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3278,Tobacconist and Tobacco and Snuff Manufacture (all branches),,,
OCC_RAW1841:female/o20/3285,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3285,Toll-collector,,,
OCC_RAW1841:female/o20/3286,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3286,Toll-contractor,,,
OCC_RAW1841:female/o20/3287,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3287,Tonbridge-ware Manufacture,,,
OCC_RAW1841:female/o20/3299,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3299,Tool-dealer and Maker (all branches),,,
OCC_RAW1841:female/o20/33,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,33,Anchor-smith and Chain-maker,,,
OCC_RAW1841:female/o20/3303,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3303,Tortoiseshell-dealer and Worker,,,
OCC_RAW1841:female/o20/331,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,331,Brazier, Brass-finisher and Worker, and Tinker,,,
OCC_RAW1841:female/o20/3313,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3313,Toy-dealer and Maker,,,
OCC_RAW1841:female/o20/3325,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3325,Trap-maker,,,
OCC_RAW1841:female/o20/3327,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3327,Traveller, Commercial,,,
OCC_RAW1841:female/o20/3332,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3332,Tray-maker,,,
OCC_RAW1841:female/o20/3333,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3333,Treenail-maker,,,
OCC_RAW1841:female/o20/3336,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3336,Trimming-dealer,,,
OCC_RAW1841:female/o20/3337,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3337,Trimming-maker,,,
OCC_RAW1841:female/o20/334,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,334,Brewer,,,
OCC_RAW1841:female/o20/3344,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3344,Tripe-dealer and Dresser,,,
OCC_RAW1841:female/o20/3349,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3349,Trunk and Box-maker,,,
OCC_RAW1841:female/o20/3352,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3352,Truss maker,,,
OCC_RAW1841:female/o20/3353,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3353,Tube-maker,,,
OCC_RAW1841:female/o20/3356,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3356,Turf-cutter, Dealer, and Merchant,,,
OCC_RAW1841:female/o20/3360,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3360,Turner,,,
OCC_RAW1841:female/o20/3368,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3368,Turpentine-distiller and Maker,,,
OCC_RAW1841:female/o20/337,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,337,Brick and Tile-maker,,,
OCC_RAW1841:female/o20/3372,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3372,Type-founder,,,
OCC_RAW1841:female/o20/3375,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3375,Umbrella, Parasol and Walking-stick Maker,,,
OCC_RAW1841:female/o20/3377,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3377,Undertaker,,,
OCC_RAW1841:female/o20/338,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,338,Bricklayer,,,
OCC_RAW1841:female/o20/3381,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3381,Urn-maker,,,
OCC_RAW1841:female/o20/3383,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3383,Varnish-maker,,,
OCC_RAW1841:female/o20/3384,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3384,Vellum-binder,,,
OCC_RAW1841:female/o20/3390,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3390,Ventriloquist,,,
OCC_RAW1841:female/o20/3394,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3394,Vermin-destroyer,,,
OCC_RAW1841:female/o20/3396,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3396,Vinegar-maker,,,
OCC_RAW1841:female/o20/34,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,34,Animal and Bird-dealer,,,
OCC_RAW1841:female/o20/3402,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3402,Vitriol-manufacture,,,
OCC_RAW1841:female/o20/3404,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3404,Wadding-maker,,,
OCC_RAW1841:female/o20/3406,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3406,Wafer-maker,,,
OCC_RAW1841:female/o20/341,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,341,Bridge and Canal-contractor,,,
OCC_RAW1841:female/o20/3412,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3412,Warehouseman and Woman,,,
OCC_RAW1841:female/o20/3416,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3416,Waste-dealer,,,
OCC_RAW1841:female/o20/3426,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3426,Water-carrier and Dealer,,,
OCC_RAW1841:female/o20/3428,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3428,Water-gilder,,,
OCC_RAW1841:female/o20/3432,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3432,Water-works Service,,,
OCC_RAW1841:female/o20/3433,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3433,Wax Merchant,,,
OCC_RAW1841:female/o20/3437,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3437,Wax-modeller and Worker,,,
OCC_RAW1841:female/o20/344,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,344,Brimstone-manufacturer,,,
OCC_RAW1841:female/o20/3440,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3440,Weaver (branch not specified),,,
OCC_RAW1841:female/o20/3473,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3473,Weaving Agent,,,
OCC_RAW1841:female/o20/3474,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3474,Weighing-machine-maker,,,
OCC_RAW1841:female/o20/3476,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3476,Well-sinker,,,
OCC_RAW1841:female/o20/3477,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,3477,West India Agent and Merchant,,,
