Cell Reference,nCube ID,nCube Name,N of Variables,Variable 1,Cat 1 Seq,Category 1,Variable 2,Cat 2 Seq,Category 2,Variable 3,Cat 3 Seq,Category 3, Variable 4,Cat 4 Seq,Category 4
OCC_RAW1841:female/o20/1101,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1101,Filter-maker,,,
OCC_RAW1841:female/o20/1103,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1103,Fire-iron-maker,,,
OCC_RAW1841:female/o20/1104,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1104,Fireman,,,
OCC_RAW1841:female/o20/1107,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1107,Firework-maker,,,
OCC_RAW1841:female/o20/1110,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1110,Fish Contractor,,,
OCC_RAW1841:female/o20/1114,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1114,Fish-curer,,,
OCC_RAW1841:female/o20/1118,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1118,Fisherman and Woman,,,
OCC_RAW1841:female/o20/1121,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1121,Fish-hook-maker,,,
OCC_RAW1841:female/o20/1123,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1123,Fishing-rod and Tackle-maker,,,
OCC_RAW1841:female/o20/1127,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1127,Fishmonger and Dealer,,,
OCC_RAW1841:female/o20/1130,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1130,Flannel Agent and Merchant,,,
OCC_RAW1841:female/o20/1131,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1131,Flannel manufacture (all branches),,,
OCC_RAW1841:female/o20/1136,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1136,Flask (Powder) and Shot-Belt-maker,,,
OCC_RAW1841:female/o20/1138,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1138,Flask-maker,,,
OCC_RAW1841:female/o20/1139,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1139,Flax and Linen-manufacture (all branches),,,
OCC_RAW1841:female/o20/114,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,114,Baker,,,
OCC_RAW1841:female/o20/1140,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1140,Flax Merchant and Stapler,,,
OCC_RAW1841:female/o20/1167,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1167,Flint-miller and Dealer,,,
OCC_RAW1841:female/o20/1169,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1169,Flock-dealer and Merchant,,,
OCC_RAW1841:female/o20/1171,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1171,Flock-manufacture,,,
